Scenario,Law,Similarity
"Four men were booked for allegedly assaulting a visitor while dancing at a club in the Gurgaon city on Sunday night.In her twenties, the woman told police on Monday that she had gone to the club with her husband and had just hit the dance floor when the four men accused misbehaved with her.
This led to an argument, which soon escalated intoascuffle.
","IPC Section 392(Robbery - Punishment = Rigorous Imprisonment for 10 Years + Fine, If committed on the highway between sunset and sunrise = Rigorous Imprisonment for 14 Years + Fine)",0
"Delhi Police's crime branch has unearthed a massive racket of manufacturing and selling of counterfeit cancer and chemotherapy drugs with the arrest of 7 persons. The syndicate, police said, played with people's lives by providing fake medicines with no active ingredients. Special commissioner seized spurious medicines with labels of seven international and two Indian brands worth Rs 4 crore, besides empty vials, packaging material and machinery from the accused.","IPC Sections 300, 302 (Murder) - Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine. Punishment - Death or Imprisonment for life",0
"ATS on Saturday arrested a 31- year-old contract worker of Mazagon Dock Shipbuilders for allegedly sharing confidential information which are prohibited under OSA and received money as well from a Pak-based intelligence operative through social media, reports Mateen Hafeez.","IPC sections 323 (voluntarily causing hurt - Punishment : 1 year jail , fine or both), and 34 (When a criminal act is done by several persons in furtherance of the common intention of all, each of such persons is liable for that act in the same manner as if it were done by him alone)",0
"A sub-inspector was seen kicking members of a congregation offering namaz in north Delhi's Inderlok on Friday.. A purported video of the incident was widely shared on social media, sparking outrage. The video shows a group of people offering namaz on a busy road. He is seen pushing them and asking them to move, then kicking and hitting
two or three people.","IPC Section of 375 - Rape , 376 Punishment for Rape : Rigorous Imprisonment for 10 years to Imprisonment for Life + Fine, or 20 years + Fine or Natural-Life + Fine)",0
"A teenager, allegedly on a joyride with his friend, was responsible for Wednesday night's car crash that killed one person and injured nine others in Mayur Vihar Phase 3, police said on Thursday","The Consumer Protection Act (2019): This act aims to protect consumer rights and interests. It wouldn't be directly applicable here as the scenario focuses on a potential attempt to bypass demonetization regulations and alleged forgery, not relating to consumer transactions.",0
" A photographer was allegedly stabbed on the neck by a man near the India Gate on Tuesday. The alleged was taking pictures when the accused  approached him asking directions to the railway station. When he asked him to ask someone else, the accussed threatned him and left and later showed up from behind and stabbed his neck. ","IPC - Section 494 (Bigamy): This section criminalizes marrying again while a previous spouse is still living or without divorcing the first spouse, this section would be directly applicable. Punishment = 7 Years + Fine",0
"On June 18, 2018, 45-year-old Qasim was killed and 62-year-old Samiudeen was assaulted by a mob that accused them of cow slaughter, which is banned in Uttar Pradesh.Qasim was attacked with a screwdriver and sickle in Bajera Khurd village by the mob. Post-mortem reports revealed that he had multiple bruises on his back, fractured ribs, and cuts on his shoulders, knees, abdomen and head. He had been accompanied by his friend Samiudeen who was also brutally assaulted. Samiudeen remained bedridden for months.","IPC Section 304 A (causing death by negligence) -Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished. Punishment = imprisonment of either description for a term which may extend to two years, or with fine, or with both.",0
"Two men were arrested on Thursday for allegedly selling fake mobile phones and cheating gullible customers. Ankit (23), a resident of Mathura, was sold two fake mobile phones at Old Lajpat Rai Market for Rs 26,000.  The complainant claimed that he was handed fake phones after he made the payment and was even threatened when he objected to it.","IPC Section 427: Mischief, and thereby causing damage to the amount of 50 rupees or upwards leads to Punishment of 2 Years or Fine or Both.",0
" A 71-year-old doc- in east Delhi fell victim to a sextortion gang. The scammers extorted Rs 8.6 lakh from him by threatening to circulate a video of him with a woman in a compromising position on the other end of a video call. The police found that the stolen money was transferred to various bank accounts in Haryana, Punjab and Maharashtra and these accounts were opened solely for receiveing fraudulent money as they lack the KYC(Know your customer) verification. ","IPC sections 323 (voluntarily causing hurt), and 34 (acts done by several persons in furtherance of common intention)",0
"Sachin Yaday, a a 30-year-old man who is a Rohini resident who has been working as driver, was allegedly speeding to pick up the vehicle owner's child from a college when victim Arun Kumar was returning home after picking up his granddaughter from a nursery school in Dwarka Sector 17. While Kumar succumbed to his injuries, the girl sustained grievous injuries.
","IPC sections 383-385 Exortion - Whoever, in order to the committing of extortion, puts any person in fear, or attempts to put any person in fear, of any injury, shall be punished. Punishment = imprisonment of either description for a term which may extend to two years, or with fine, or with both. ",0
"After a video of a man performing dangerous stunts with his SUV on the Najaf garh-Rajouri Garden route went viral on social media, police have identified and seized the vehicle. The video, which was shot by another driver who also tried to warn the accused. The SUV driver also attempted to conceal the vehicle's identity by removing the number plates. Police scanned CCTV footage collected from nearby areas, identified the car and seized it. Earlier in Feb, another incident of negligent driving came to light where cars had obstructed traffic on the Vikaspuri flyover and used smoke cannisters. Five persons were apprehended.
",IPC Sections 352-356 - Use of Excessive Force and Assault - Assault or criminal force in attempt to commit theft of property worn or carried by a person : Punishment = 2 Years or Fine or Both,0
" The chief of a mutt and his associate were arrested Thursday in Karnataka's Tumakuru district for allegedly sexually exploiting a woman when she was a minor three years ago. According to sources, Abhilash, the assistant alleged that one of the six suspects was an assistant to Swamiji. The seer had revealed his skin allergy to the assistant, who introduced the woman to him as a doctor. She made a video call asking the seer to show the affected areas, but instead recorded the call and later started demanding money from Swamiji, saying the gang would upload the said video on social media if he failed to do so. However, during the probe, police found The woman had approached Swamiji when she was 17, complaining of health issues. The seer and others allegedly blackmailed her and exploited her. ","IPC Section 298: Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings. Punishment = 1 Year or Fine or Both",0
"After a video of a man performing dangerous stunts with his SUV on the Najaf garh-Rajouri Garden route went viral on social media, police have identified and seized the vehicle. The video, which was shot by another driver who also tried to warn the accused. The SUV driver also attempted to conceal the vehicle's identity by removing the number plates. Police scanned CCTV footage collected from nearby areas, identified the car and seized it. Earlier in Feb, another incident of negligent driving came to light where cars had obstructed traffic on the Vikaspuri flyover and used smoke cannisters. Five persons were apprehended.
",IPC Section 170 (Impersonation as a public servant) - Personating a Public servant - Punishment = 2 Years or Fine or Both,0
"Sachin Yaday, a a 30-year-old man who is a Rohini resident who has been working as driver, was allegedly speeding to pick up the vehicle owner's child from a college when victim Arun Kumar was returning home after picking up his granddaughter from a nursery school in Dwarka Sector 17. While Kumar succumbed to his injuries, the girl sustained grievous injuries.
","Protection of Children from Sexual Offences Act (POCSO), 2012: This comprehensive law specifically addresses sexual offenses against children, making offenses like rape and assault of minors especially severe.",0
"A man in his 20s has been arrested for allegedly abducting and sexually assaulting a 15- year-old girl, police said on Monday. The survivor has been rescued from UP. The accused, Deepak Yadav, a resident of south-east Delhi, lived in the same locality as the minor. ","IPC Section 411: Dishonestly receiving stolen property : Whoever dishonestly receives or retains any stolen property, knowing or having reason to believe the same to be stolen property, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both",0
A 59-year-old woman sleeping on a bed burnt to death after her mentally challenged son allegedly set the mattress on fire in their flat in a Sector 43 condominium in ?Gurgaon on Saturday night. The woman's husband was in Kolkata for some work when the flat went up in flames.,"IPC sections 463-465-Forgery - Whoever commits forgery shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",0
"A 13-year-old boy died after a heavy concrete slab used in the construction of Delhi-Dehradun road project allegedly fell on him in Shahdara district's Geeta Colony.
The minor, Zumman, lived with his family in Geeta Colony. The heavy slabs were stored haphazardly, and the company does not guard the space. There was no response from National Highways Aut- hority of India (NHAI) in the accident.","IPC - Section 494 (Bigamy): This section criminalizes marrying again while a previous spouse is still living or without divorcing the first spouse, this section would be directly applicable. Punishment = 7 Years + Fine",0
